time,tavg,tmin,tmax,prcp,wspd,pres
2024-03-01,14.4,8.6,21.6,0.0,8.3,1019.3
2024-03-02,16.4,12.6,21.6,0.7,7.8,1019.4
2024-03-03,14.1,11.6,17.6,13.1,6.0,1018.4
2024-03-04,14.6,9.6,21.6,0.1,7.1,1017.8
2024-03-05,15.1,8.6,22.6,0.0,8.5,1017.5
2024-03-06,15.2,7.6,22.6,0.0,9.0,1017.0
2024-03-07,15.6,8.6,22.6,0.0,8.7,1016.8
2024-03-08,15.1,8.6,22.6,0.0,8.3,1017.0
2024-03-09,15.4,9.6,22.6,0.0,9.5,1017.4
2024-03-10,15.4,9.6,22.6,0.0,8.9,1019.6
2024-03-11,16.9,11.6,23.6,0.0,7.6,1020.1
2024-03-12,17.4,10.6,24.6,0.0,8.4,1017.4
2024-03-13,17.3,10.6,24.6,0.0,9.2,1016.7
2024-03-14,17.1,10.6,23.6,0.0,7.8,1017.8
2024-03-15,17.2,10.6,24.6,0.0,8.2,1018.0
2024-03-16,17.2,10.6,24.6,0.0,7.7,1020.5
2024-03-17,17.3,9.6,24.6,0.0,7.1,1020.4
2024-03-18,17.4,10.6,24.6,0.0,9.1,1019.0
2024-03-19,17.4,9.6,24.6,0.2,8.3,1019.6
2024-03-20,12.9,11.6,15.6,7.4,5.0,1019.2
2024-03-21,13.7,10.6,18.6,7.2,5.7,1018.6
2024-03-22,15.4,12.6,19.6,0.5,8.6,1014.8
2024-03-23,15.3,12.6,19.6,12.0,5.7,1013.0
2024-03-24,17.1,13.6,22.6,0.5,10.5,1016.2
2024-03-25,17.7,12.6,22.6,2.6,7.3,1017.3
2024-03-26,17.8,13.6,22.6,4.6,10.9,1017.9
2024-03-27,17.5,14.3,20.6,4.0,7.4,1019.6
2024-03-28,16.6,13.6,22.3,3.2,5.5,1017.2
2024-03-29,19.3,15.6,24.6,2.1,6.4,1017.5
2024-03-30,19.9,14.6,26.6,11.3,8.5,1018.1
2024-03-31,19.3,13.6,26.6,0.0,10.8,1017.5
2024-04-01,19.8,12.6,26.6,0.0,8.2,1012.5
2024-04-02,20.2,13.6,28.6,0.0,9.6,1012.1
2024-04-03,20.6,13.6,27.6,0.0,9.0,1014.4
2024-04-04,21.9,14.6,30.6,0.0,9.6,1015.2
2024-04-05,21.3,14.6,31.1,0.0,8.5,1013.9
2024-04-06,21.2,13.2,30.8,0.0,9.4,1014.4
2024-04-07,20.8,12.2,30.8,0.0,8.9,1014.4
2024-04-08,19.8,11.6,29.8,0.0,10.5,1016.9
2024-04-09,19.2,10.8,29.1,0.0,7.7,1018.2
2024-04-10,19.4,11.2,28.8,0.0,11.6,1019.0
2024-04-11,17.3,11.6,29.0,1.0,10.6,1020.0
2024-04-12,18.4,10.1,27.8,1.5,6.6,1019.8
2024-04-13,20.4,13.1,29.1,0.0,8.0,1019.5
2024-04-14,21.4,14.6,30.3,0.0,8.5,1020.0
2024-04-15,22.2,15.6,30.6,0.0,7.8,1018.9
2024-04-16,22.2,16.1,31.3,0.0,9.5,1015.0
2024-04-17,22.0,14.3,31.4,0.0,13.3,1012.8
2024-04-18,21.8,15.4,30.3,0.0,10.5,1012.2
2024-04-19,22.9,15.6,30.6,0.0,8.7,1009.9
2024-04-20,23.9,16.5,31.7,0.0,10.2,1010.0
2024-04-21,23.0,14.3,33.1,0.0,9.6,1011.4
2024-04-22,23.4,14.8,32.7,0.0,10.0,1013.1
2024-04-23,22.8,14.8,31.9,0.0,10.1,1012.9
2024-04-24,22.4,13.8,31.6,0.0,9.1,1012.2
2024-04-25,22.7,13.6,33.1,0.0,7.9,1012.5
2024-04-26,23.0,14.1,32.3,0.0,7.6,1012.6
2024-04-27,23.4,15.0,32.3,0.0,7.8,1013.9
2024-04-28,23.8,15.6,32.9,0.0,9.3,1013.0
2024-04-29,23.8,14.9,32.8,0.0,9.0,1013.5
2024-04-30,24.7,15.0,33.1,0.0,8.5,1010.0
2024-05-01,23.8,16.6,30.6,0.0,10.5,1008.4
2024-05-02,21.4,12.9,30.1,0.0,10.0,1009.9
2024-05-03,21.8,13.2,31.4,0.0,9.2,1013.2
2024-05-04,21.8,14.6,26.6,0.0,8.3,1014.0
2024-05-05,21.6,15.6,29.9,0.0,7.6,1010.0
2024-05-06,21.7,16.4,31.1,2.0,8.8,1013.0
2024-05-07,17.9,15.4,24.2,1.0,9.9,1016.8
2024-05-08,17.4,14.1,23.0,12.7,6.9,1017.9
2024-05-09,19.5,14.4,27.2,0.0,6.8,1018.2
2024-05-10,20.9,15.6,26.8,8.9,8.5,1016.5
2024-05-11,22.2,18.1,29.0,0.0,10.9,1017.0
2024-05-12,18.8,17.4,25.0,4.6,6.3,1018.1
2024-05-13,20.6,15.4,26.6,0.0,5.6,1017.9
2024-05-14,22.8,15.6,30.6,0.0,8.5,1018.0
2024-05-15,22.9,18.0,31.1,0.0,9.8,1018.5
2024-05-16,23.7,16.6,32.6,0.0,9.4,1018.0
2024-05-17,24.8,16.6,31.9,0.0,8.3,1015.8
2024-05-18,25.4,19.0,33.2,0.0,7.4,1013.3
2024-05-19,24.1,18.2,31.0,2.5,7.6,1011.3
2024-05-20,21.4,16.3,26.8,4.3,6.5,1012.3
2024-05-21,23.1,18.1,29.3,0.0,7.7,1013.7
2024-05-22,22.2,18.2,32.2,3.3,8.2,1013.6
2024-05-23,23.4,19.0,29.4,0.5,6.1,1013.5
2024-05-24,24.4,18.9,34.0,0.0,6.7,1012.1
2024-05-25,24.8,20.6,33.0,5.6,8.2,1010.3
2024-05-26,24.4,20.6,28.6,1.9,7.9,1009.5
2024-05-27,24.3,19.6,32.0,0.0,12.0,1006.1
2024-05-28,23.4,19.8,28.0,8.3,5.7,1004.4
2024-05-29,25.2,18.7,32.8,0.0,7.9,1007.0
2024-05-30,25.3,19.3,34.0,0.0,9.6,1008.1
2024-05-31,24.8,18.6,33.2,1.5,10.4,1010.7
2024-06-01,22.9,18.8,31.6,1.5,6.9,1011.5
2024-06-02,23.9,18.6,29.8,0.0,7.8,1013.0
2024-06-03,24.5,18.6,31.8,0.0,8.3,1011.3
2024-06-04,22.5,18.4,29.0,22.6,6.4,1012.4
2024-06-05,23.0,17.1,30.3,1.0,9.8,1012.8
2024-06-06,23.8,17.2,30.5,3.6,8.5,1012.8
2024-06-07,24.3,19.0,30.2,0.0,10.1,1010.5
2024-06-08,24.8,19.6,31.5,2.3,10.3,1009.3
2024-06-09,26.1,20.5,33.4,0.0,9.8,1009.6
2024-06-10,26.5,20.4,34.0,0.0,9.5,1010.3
2024-06-11,26.0,20.6,32.8,0.0,10.2,1009.2
2024-06-12,26.4,21.4,33.9,0.0,10.3,1010.5
2024-06-13,26.7,21.6,33.9,0.0,10.0,1008.7
2024-06-14,26.7,22.6,33.0,0.0,10.1,1008.0
2024-06-15,26.8,22.2,34.9,0.0,9.9,1007.6
2024-06-16,25.5,21.2,33.5,2.8,8.7,1008.6
2024-06-17,24.3,21.0,30.1,13.2,7.8,1007.2
2024-06-18,23.8,21.6,28.7,23.6,6.7,1004.1
2024-06-19,24.4,19.6,30.2,4.8,9.8,1003.6
2024-06-20,24.2,20.0,30.3,36.1,9.5,1006.5
2024-06-21,24.7,20.6,30.3,0.0,9.9,1009.1
2024-06-22,25.0,20.6,31.0,5.1,9.4,1009.0
2024-06-23,25.5,21.6,31.3,0.3,9.8,1009.8
2024-06-24,25.9,22.0,31.7,0.8,9.4,1008.7
2024-06-25,25.5,21.4,31.4,0.0,11.6,1005.9
2024-06-26,23.5,21.0,25.6,50.3,7.7,1008.7
2024-06-27,24.6,21.0,29.6,0.3,6.4,1011.4
2024-06-28,24.0,20.5,30.6,19.6,12.2,1008.0
2024-06-29,24.1,20.9,29.4,12.7,8.6,1006.8
2024-06-30,23.6,21.4,28.9,56.6,6.9,1005.9
2024-07-01,23.7,20.8,29.1,39.6,7.7,1004.4
2024-07-02,21.9,20.6,25.6,32.8,5.4,1003.5
2024-07-03,23.5,20.4,29.5,6.6,4.7,1006.5
2024-07-04,23.4,21.6,26.9,21.1,6.7,1008.5
2024-07-05,22.9,20.6,27.6,20.3,5.1,1007.2
2024-07-06,20.6,19.6,21.6,48.4,6.6,1007.4
2024-07-07,22.1,20.6,25.6,30.7,3.5,1010.7
2024-07-08,23.8,20.6,28.9,2.0,7.4,1010.9
2024-07-09,24.0,21.1,28.6,0.5,8.7,1010.3
2024-07-10,23.0,20.6,27.2,18.0,7.9,1010.8
2024-07-11,22.3,20.6,24.6,40.6,4.4,1008.0
2024-07-12,22.3,20.2,27.2,29.7,7.9,1005.8
2024-07-13,24.4,20.0,29.8,24.4,8.3,1006.3
2024-07-14,24.7,21.2,31.1,1.0,8.6,1006.8
2024-07-15,25.4,22.6,28.6,13.0,10.6,1009.6
2024-07-16,24.8,22.6,29.7,0.0,7.9,1010.6
2024-07-17,24.1,21.6,29.5,25.4,6.4,1010.4
2024-07-18,24.5,20.6,29.6,9.8,7.0,1008.7
2024-07-19,25.0,20.2,30.3,25.7,6.4,1008.8
2024-07-20,24.5,22.6,30.9,1.5,7.6,1008.0
2024-07-21,24.1,21.6,26.6,23.8,6.2,1007.6
2024-07-22,23.9,20.6,27.6,7.6,6.1,1008.8
2024-07-23,23.5,20.6,26.6,10.7,6.8,1006.9
2024-07-24,24.2,21.6,28.6,28.2,6.6,1003.8
2024-07-25,24.2,21.6,28.6,29.8,6.5,1002.1
2024-07-26,24.9,21.6,28.6,12.2,6.5,1004.4
2024-07-27,25.9,22.6,29.6,3.3,6.5,1006.9
2024-07-28,24.6,20.6,28.6,24.8,6.2,1007.8
2024-07-29,25.1,21.6,30.6,44.0,6.8,1006.6
2024-07-30,24.8,21.6,28.6,18.0,9.2,1007.6
2024-07-31,25.0,19.6,30.8,62.5,10.2,1009.1
2024-08-01,24.3,21.9,30.7,0.3,11.8,1007.5
2024-08-02,23.5,20.0,30.5,0.8,7.3,1006.3
2024-08-03,24.5,21.2,30.6,5.6,9.5,1009.4
2024-08-04,24.6,19.6,30.8,0.0,12.0,1012.3
2024-08-05,23.9,20.3,31.1,1.0,7.9,1010.3
2024-08-06,22.4,20.3,26.6,73.4,9.5,1010.3
2024-08-07,22.9,20.4,28.5,25.9,6.7,1010.6
2024-08-08,22.5,20.0,29.4,20.8,5.8,1012.0
2024-08-09,22.3,19.6,27.4,5.1,5.2,1012.2
2024-08-10,23.1,20.0,28.6,0.8,6.1,1011.3
2024-08-11,22.5,19.8,28.4,29.0,7.0,1009.7
2024-08-12,23.6,21.6,26.6,22.2,8.1,1010.8
2024-08-13,23.7,21.1,29.2,15.2,6.2,1012.0
2024-08-14,24.2,20.4,30.1,14.7,9.6,1013.1
2024-08-15,23.6,21.0,31.3,1.3,12.7,1011.9
2024-08-16,24.2,18.6,31.0,1.8,8.3,1010.9
2024-08-17,24.1,20.0,31.4,13.7,10.4,1011.7
2024-08-18,23.4,19.4,30.8,27.7,6.2,1012.3
2024-08-19,22.9,20.6,27.6,7.9,6.1,1011.7
2024-08-20,22.3,19.6,25.6,6.9,7.4,1012.9
2024-08-21,21.0,19.6,23.6,1.3,5.0,1012.8
2024-08-22,22.6,19.6,26.6,6.5,5.3,1012.4
2024-08-23,23.3,21.6,27.6,7.7,5.3,1012.0
2024-08-24,23.8,20.6,28.6,5.6,7.5,1012.2
2024-08-25,23.7,20.6,28.6,4.0,7.1,1011.0
2024-08-26,22.4,20.6,28.6,8.7,6.8,1010.0
2024-08-27,22.2,19.6,27.4,7.6,4.3,1011.3
2024-08-28,24.2,20.1,30.6,0.0,6.7,1010.2
2024-08-29,22.9,20.6,30.6,2.8,7.1,1009.8
2024-08-30,25.0,18.5,31.6,6.6,6.8,1009.8
2024-08-31,24.6,21.3,31.8,0.5,8.4,1008.9
2024-09-01,21.4,20.6,22.1,,5.9,1007.8
2024-09-02,24.3,19.1,30.6,0.0,7.1,1007.5
2024-09-03,22.9,19.4,28.1,,6.0,1007.3
2024-09-04,23.3,20.6,27.6,,6.4,1010.5
2024-09-05,22.5,19.6,25.6,17.4,6.0,1009.9
2024-09-06,23.0,19.6,27.6,33.2,9.4,1011.2
2024-09-07,24.4,20.6,29.6,5.0,6.3,1013.8
2024-09-08,24.8,20.6,31.4,0.0,8.0,1012.4
2024-09-09,23.8,20.1,30.2,0.0,7.9,1010.8
2024-09-10,24.8,20.6,31.1,0.0,8.3,1010.5
2024-09-11,24.8,20.1,31.2,0.0,9.3,1011.1
2024-09-12,23.4,20.3,30.0,0.8,7.6,1011.7
2024-09-13,22.9,18.6,29.4,6.2,5.9,1010.5
2024-09-14,21.6,19.1,28.1,0.5,9.2,1009.4
2024-09-15,21.9,18.4,28.0,1.0,9.4,1009.7
2024-09-16,22.8,18.5,27.6,22.6,5.9,1013.1
2024-09-17,23.0,19.5,29.0,0.0,4.6,1015.1
2024-09-18,24.3,18.2,29.6,3.7,5.7,1014.8
